BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,102741,CME ,0,102,43766,959,17480,0,16270,1444,0,17100,19150,743,4961,3381,54,40087,42252,3679,1514,-3965,-22,729,-1548,-445,-2101,0,-1390,-764,-781,964,641,-48,-3270,-3872,-695,-93,100,2.2,39.9,0,37.2,3.3,0,39.1,43.8,1.7,11.3,7.7,0.1,91.6,96.5,8.4,3.5,76,.,.,0,14,5,0,20,12,.,12,8,.,52,28,41.8,71.2,57,85.3,41.8,71,57,83.6,"(CONTRACTS OF BRL 100,000)",102741,CME ,102,F15,Combined
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,112741,CME ,0,112,41845,9205,15598,40,4890,8562,1072,20973,11612,712,298,899,20,37210,38515,4635,3330,410,374,226,3,27,1551,-18,22,-1021,-58,-45,131,0,304,813,106,-403,100,22,37.3,0.1,11.7,20.5,2.6,50.1,27.8,1.7,0.7,2.1,0,88.9,92,11.1,8,82,7,.,.,13,11,5,29,13,11,.,4,.,59,41,24.9,55.3,41.3,73.5,24.9,55.3,41.3,72.7,"(CONTRACTS OF NZD 100,000)",112741,CME ,112,F15,Combined
SOUTH AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,122741,CME ,0,122,17131,2685,4897,0,8362,2832,0,3446,8110,0,1039,0,0,15532,15839,1599,1292,-864,1,-3,0,-795,410,-86,-3,-1152,0,2,0,0,-881,-831,17,-33,100,15.7,28.6,0,48.8,16.5,0,20.1,47.3,0,6.1,0,0,90.7,92.5,9.3,7.5,38,.,.,0,7,.,0,10,13,0,.,0,0,21,17,61.9,69.6,75.4,82.9,61.9,69.6,75.4,82.9,"(CONTRACTS OF ZAR 500,000)",122741,CME ,122,F15,Combined
DJIA Consolidated - CHICAGO BOARD OF TRADE,210706,06/07/2021,12460+,CBT ,0,124,53100,13684,26021,607,16685,2634,372,10998,1864,1555,616,14647,0,44517,47699,8583,5401,174,-216,3004,21,380,487,5,242,-4158,183,0,411,0,614,-48,-441,222,100,25.8,49,1.1,31.4,5,0.7,20.7,3.5,2.9,1.2,27.6,0,83.8,89.8,16.2,10.2,109,12,16,.,27,9,6,27,10,10,.,7,0,77,51,33.3,45,47.2,64.5,32.1,44,45.4,63.4,($10 X DJIA INDEX),12460+,CBT ,124,F20,Combined
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,210706,06/07/2021,124603,CBT ,0,124,106199,27368,52042,1213,33370,5267,744,21996,3727,3111,1232,29294,0,89034,95398,17165,10801,347,-432,6008,41,759,973,9,485,-8316,367,0,822,0,1228,-96,-881,443,100,25.8,49,1.1,31.4,5,0.7,20.7,3.5,2.9,1.2,27.6,0,83.8,89.8,16.2,10.2,109,12,16,.,27,9,6,27,10,10,.,7,0,77,51,33.3,45,47.2,64.5,32.1,44,45.4,63.4,($5 X DJIA INDEX),124603,CBT ,124,F20,Combined
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,210706,06/07/2021,124606,CBT ,0,124,42492,1986,36450,400,33352,0,1300,2705,4080,0,0,0,0,39743,42230,2749,262,1621,450,954,400,105,0,481,322,-108,0,0,0,0,1758,1727,-137,-106,100,4.7,85.8,0.9,78.5,0,3.1,6.4,9.6,0,0,0,0,93.5,99.4,6.5,0.6,35,4,8,.,17,0,.,.,4,0,0,0,0,24,15,48.5,67.3,70.3,90.1,47.8,67.3,67.2,89.1,($100 X DJ US REAL ESTATE INDEX),124606,CBT ,124,F20,Combined
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,13874+,CME ,0,138,644096,36559,149141,42691,271590,79094,55517,40074,78289,99661,24539,69471,2688,573319,576551,70778,67545,12099,2607,-302,-339,1863,1876,-1568,2670,3002,5813,1699,3794,-846,11899,11430,200,669,100,5.7,23.2,6.6,42.2,12.3,8.6,6.2,12.2,15.5,3.8,10.8,0.4,89,89.5,11,10.5,554,34,29,37,166,83,114,75,97,99,42,28,27,443,388,11.8,19.3,20.7,29.3,10,16.9,16.1,23.6,(S&P 500 INDEX X $250.00),13874+,CME ,138,F20,Combined
S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,138741,CME ,0,138,27403,4553,0,174,0,0,0,5523,10344,7803,0,0,0,18053,18321,9350,9082,1337,-1468,0,49,0,0,0,1435,3781,-328,-100,0,0,-412,3502,1749,-2165,100,16.6,0,0.6,0,0,0,20.2,37.7,28.5,0,0,0,65.9,66.9,34.1,33.1,21,4,0,.,0,0,0,.,14,14,0,0,0,18,20,39.5,36,57,55.7,32.2,29.3,36.8,36.5,(S&P 500 INDEX X $250.00),138741,CME ,138,F20,Combined
E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,138748,CME ,0,138,23894,7667,17232,0,10469,4055,2158,1845,0,0,0,0,0,22139,23445,1755,449,-162,4850,-2295,0,-6591,0,2158,-543,0,0,0,0,0,-126,-137,-36,-25,100,32.1,72.1,0,43.8,17,9,7.7,0,0,0,0,0,92.7,98.1,7.3,1.9,20,4,7,0,4,.,.,.,0,0,0,0,0,11,10,69.4,75.1,87.8,96,60.3,75.1,78.8,88.2,($100 x S&P Select Sector Consumer Staples Index price),138748,CME ,138,F20,Combined
E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,138749,CME ,0,138,23112,4806,19778,0,13623,0,145,1442,1962,240,0,0,0,20256,22125,2856,987,55,143,288,0,131,0,145,-56,-129,-19,0,0,0,344,285,-289,-230,100,20.8,85.6,0,58.9,0,0.6,6.2,8.5,1,0,0,0,87.6,95.7,12.4,4.3,33,4,8,0,12,0,.,5,4,.,0,0,0,22,13,51.4,76,66.9,89,51.4,76,66.9,88.1,($100 x S&P Select Sector Energy Index price),138749,CME ,138,F20,Combined
