unique.Spec.Market_and_Exchange_Names.
1-MONTH LIBOR RATE - IMM 1-MONTH LIBOR
10-YEAR U.S. TREASURY NOTES - CBT 10-YR US T-NOTES
1000 TROY OUNCE SILVER - CBT 1000 OZ SILVER
13-WEEK U.S. TREASURY BILLS - IMM 13-WK US T-BILLS
2-YEAR U.S. TREASURY NOTES - CBT 2-YR US T-NOTES
3-MONTH EURODOLLARS - IMM 3-MO EURODOLLARS
30-DAY FEDERAL FUNDS - CBT 30-DAY FED FUNDS
5-YEAR U.S. TREASURY NOTES - CBT 5-YR US T-NOTES
AMEX MAJOR MARKET INDEX - CME AMEX MKT INDEX
AUSTRALIAN DOLLARS - IMM AUSTRALIAN $
CANADIAN DOLLAR - IMM CANADIAN DOLLAR
CHEDDAR CHEESE - CSCE CHEDDAR CHEESE
COCOA - CSCE COCOA
COFFEE C - CSCE COFFEE C
COPPER-GRADE #1 - CEI COPPER-GRADE #1
CORN - CBT CORN
COTTON NO. 2 - NYCE COTTON NO. 2
"CRUDE OIL, LIGHT 'SWEET' - NYME CRUDE OIL"
DEUTSCHE MARK - IMM DEUTSCHE MARK
"DEUTSCHE MARK, ROLLING SPOT - IMM ROLLING DM"
DIAMMONIUM PHOSPHATE - CBT DAP FERTILIZER
DMARK/POUND CROSSRATE - NYCE DM/BP XRATE
FEEDER CATTLE - CME FEEDER CATTLE
FRENCH FRANC - IMM FRENCH FRANC
FRENCH FRANC/DMARK XRATE - NYCE FF/DM XRATE
FROZEN PORK BELLIES - CME PORK BELLIES
FRZN CONCENTRATED ORANGE JUICE - CANY ORANGE JUICE
GOLD - CEI GOLD
GOLDMAN-SACHS COMMODITY INDEX - IMM GSCI
ITAL. LIRA/MARK XRATE - NYCE ITL/DM XRATE
JAPANESE YEN - IMM JAPANESE YEN
LIVE CATTLE - CME LIVE CATTLE
LIVE HOGS - CME LIVE HOGS
MUNICIPAL BOND INDEX - CBT MUNICIPAL BONDS
"NATURAL GAS - NYME NATURAL GAS"
NIKKEI STOCK AVERAGE - IMM NIKKEI STK INDEX
"NO. 2 HEATING OIL, N.Y. HARBOR - NYME HEATING OIL #2"
OATS - CBT OATS
PALLADIUM - NYME PALLADIUM
PLATINUM - NYME PLATINUM
POUND STERLING - IMM POUND STERLING
PROPANE GAS - NYME PROPANE GAS
RANDOM LENGTH LUMBER - CME LUMBER
ROUGH RICE - CBT ROUGH RICE
RUSSEL 2000 STOCK INDEX FUTURE - CME RUSSEL 2000 INDX
S&P 400 MIDCAP STOCK INDEX - IMM S&P 400 STK INDX
S&P 500 STOCK INDEX - IMM S&P 500 STK INDX
SILVER - CEI SILVER
SOYBEAN MEAL - CBT SOYBEAN MEAL
SOYBEAN OIL - CBT SOYBEAN OIL
SOYBEANS - CBT SOYBEANS
"SPREADS, UNLEADED GAS TO CRUDE - NYME UG/CO OPTIONS"
"SPREADS,HEATING OIL TO CRUDE - NYME HO/CO OPTIONS"
"STOCK INDEX FUT, EUROTOP 100 - CMX EUROTOP 100"
"STOCK INDEX FUTURE, MVL - KCBT STOCK INDEX MVL"
SUGAR NO. 11 - CSCE SUGAR NO. 11
SUGAR NO. 14 - CSCE SUGAR NO. 14
SWISS FRANC - IMM SWISS FRANC
U.S. DOLLAR INDEX - NYCE US DOLLAR INDEX
U.S. TREASURY BONDS - CBT US T-BONDS
U.S. TREASURY BONDS - MCE TREASURY BONDS
"UNLEADED GASOLINE, N.Y. HARBOR - NYME UNLEADED GAS"
VALUE LINE STOCK INDEX - KCBT STOCK INDEX VLA
WHEAT - CBT WHEAT
WHEAT - KCBT WHEAT
WHEAT - MGE WHEAT
WHITE WHEAT - MGE WHITE WHEAT
YEN/MARK CROSSRATE - NYCE YEN/DM XRATE
1-MONTH LIBOR RATE - INTERNATIONAL MONETARY MARKET
10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
1000 TROY OUNCE SILVER - CHICAGO BOARD OF TRADE
13-WEEK U.S. TREASURY BILLS - INTERNATIONAL MONETARY MARKET
2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
3-MONTH EURODOLLARS - INTERNATIONAL MONETARY MARKET
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE
5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
AMEX MAJOR MARKET INDEX - INTERNATIONAL MONETARY MARKET
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET
"COCOA - COFFEE, SUGAR & COCOA EXCHANGE"
"COFFEE C - COFFEE, SUGAR & COCOA EXCHANGE"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.
CORN - CHICAGO BOARD OF TRADE
COTTON NO. 2 - NEW YORK COTTON EXCHANGE
"CRUDE OIL, LIGHT 'SWEET' - NEW YORK MERCANTILE EXCHANGE"
DEUTSCHE MARK - INTERNATIONAL MONETARY MARKET
DMARK/POUND CROSSRATE - NEW YORK COTTON EXCHANGE
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE
FRENCH FRANC - INTERNATIONAL MONETARY MARKET
FRENCH FRANC/DMARK XRATE - NEW YORK COTTON EXCHANGE
FROZEN PORK BELLIES - CHICAGO MERCANTILE EXCHANGE
FRZN CONCENTRATED ORANGE JUICE - CITRUS ASSOC. OF N Y COTTON EXCH
GOLD - COMMODITY EXCHANGE INC.
GOLDMAN-SACHS COMMODITY INDEX - INTERNATIONAL MONETARY MARKET
ITAL. LIRA/MARK XRATE - NEW YORK COTTON EXCHANGE
JAPANESE YEN - INTERNATIONAL MONETARY MARKET
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE
LIVE HOGS - CHICAGO MERCANTILE EXCHANGE
MUNICIPAL BOND INDEX - CHICAGO BOARD OF TRADE
"NATURAL GAS - NEW YORK MERCANTILE EXCHANGE"
NIKKEI STOCK AVERAGE - INTERNATIONAL MONETARY MARKET
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE"
OATS - CHICAGO BOARD OF TRADE
PALLADIUM - NEW YORK MERCANTILE EXCHANGE
PLATINUM - NEW YORK MERCANTILE EXCHANGE
POUND STERLING - INTERNATIONAL MONETARY MARKET
PROPANE GAS - NEW YORK MERCANTILE EXCHANGE
RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE
ROUGH RICE - CHICAGO BOARD OF TRADE
RUSSEL 2000 STOCK INDEX FUTURE - INTERNATIONAL MONETARY MARKET
S&P 400 MIDCAP STOCK INDEX - INTERNATIONAL MONETARY MARKET
S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET
SILVER - COMMODITY EXCHANGE INC.
SOYBEAN MEAL - CHICAGO BOARD OF TRADE
SOYBEAN OIL - CHICAGO BOARD OF TRADE
SOYBEANS - CHICAGO BOARD OF TRADE
"SPREADS, UNLEADED GAS TO CRUDE - NEW YORK MERCANTILE EXCHANGE"
"SPREADS,HEATING OIL TO CRUDE - NEW YORK MERCANTILE EXCHANGE"
"STOCK INDEX FUT, EUROTOP 100 - COMMODITY EXCHANGE INC."
"STOCK INDEX FUTURE, MVL - KANSAS CITY BOARD OF TRADE"
"SUGAR NO. 11 - COFFEE, SUGAR & COCOA EXCHANGE"
"SUGAR NO. 14 - COFFEE, SUGAR & COCOA EXCHANGE"
SWISS FRANC - INTERNATIONAL MONETARY MARKET
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE
U.S. TREASURY BONDS - MIDAMERICA COMMODITY EXCHANGE
"UNLEADED GASOLINE, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE"
VALUE LINE STOCK INDEX - KANSAS CITY BOARD OF TRADE
WHEAT - CHICAGO BOARD OF TRADE
WHEAT - KANSAS CITY BOARD OF TRADE
WHEAT - MINNEAPOLIS GRAIN EXCHANGE
WHITE WHEAT - MINNEAPOLIS GRAIN EXCHANGE
YEN/MARK CROSSRATE - NEW YORK COTTON EXCHANGE
SOYBEANS - MIDAMERICA COMMODITY EXCHANGE
