Asset_Mgr_Positions_Net
Asset_Mgr_Positions_Long_All
Asset_Mgr_Positions_Short_All
Asset_Mgr_Positions_Spread_All
Dealer_Positions_Net
Dealer_Positions_Long_All
Dealer_Positions_Short_All
Dealer_Positions_Spread_All
Lev_Money_Positions_Net
Lev_Money_Positions_Long_All
Lev_Money_Positions_Short_All
Lev_Money_Positions_Spread_All
NonRept_Positions_Net
NonRept_Positions_Long_All
NonRept_Positions_Short_All
Open_Interest_All
Other_Rept_Positions_Net
Other_Rept_Positions_Long_All
Other_Rept_Positions_Short_All
Other_Rept_Positions_Spread_All
Pct_of_OI_Asset_Mgr_Net
Pct_of_OI_Asset_Mgr_Long_All
Pct_of_OI_Asset_Mgr_Short_All
Pct_of_OI_Asset_Mgr_Spread_All
Pct_of_OI_Dealer_Net
Pct_of_OI_Dealer_Long_All
Pct_of_OI_Dealer_Short_All
Pct_of_OI_Dealer_Spread_All
Pct_of_OI_Lev_Money_Net
Pct_of_OI_Lev_Money_Long_All
Pct_of_OI_Lev_Money_Short_All
Pct_of_OI_Lev_Money_Spread_All
Pct_of_OI_NonRept_Net
Pct_of_OI_NonRept_Long_All
Pct_of_OI_NonRept_Short_All
Pct_of_OI_Other_Rept_Net
Pct_of_OI_Other_Rept_Long_All
Pct_of_OI_Other_Rept_Short_All
Pct_of_OI_Other_Rept_Spread_All
Pct_of_OI_Tot_Rept_Net
Pct_of_OI_Tot_Rept_Long_All
Pct_of_OI_Tot_Rept_Short_All
Pct_of_Open_Interest_All
